證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
1605   	華新         	19910130	  -2.6316
2303   	聯電         	19910130	  -4.0816
2603   	長榮         	19910130	  -2.8302
2809   	京城銀       	19910130	   2.9412
1102   	亞泥         	19910131	   0.9434
1434   	福懋         	19910131	  -0.6329
1605   	華新         	19910131	  -2.0270
2303   	聯電         	19910131	  -2.1277
2603   	長榮         	19910131	   0.9709
2809   	京城銀       	19910131	  -3.4286
1102   	亞泥         	19910201	  -1.8692
1434   	福懋         	19910201	  -1.5924
1605   	華新         	19910201	  -2.4138
2303   	聯電         	19910201	  -0.8696
2603   	長榮         	19910201	  -1.9231
2809   	京城銀       	19910201	  -1.7751
1102   	亞泥         	19910202	   1.9048
1434   	福懋         	19910202	   1.6181
1605   	華新         	19910202	   1.7668
2303   	聯電         	19910202	   0.8772
2603   	長榮         	19910202	   0.9804
2809   	京城銀       	19910202	   0.0000
1102   	亞泥         	19910204	   2.8037
1434   	福懋         	19910204	   1.2739
1605   	華新         	19910204	   3.4722
2303   	聯電         	19910204	   2.1739
2603   	長榮         	19910204	   0.9709
2809   	京城銀       	19910204	   4.8193
1102   	亞泥         	19910205	   1.8182
1434   	福懋         	19910205	   3.4591
1605   	華新         	19910205	   6.7114
2303   	聯電         	19910205	   6.3830
2603   	長榮         	19910205	   5.7692
2809   	京城銀       	19910205	   6.3218
1102   	亞泥         	19910206	   0.8929
1434   	福懋         	19910206	  -0.9119
1605   	華新         	19910206	  -1.2579
2303   	聯電         	19910206	   0.4000
2603   	長榮         	19910206	   0.9091
2809   	京城銀       	19910206	  -2.1622
1102   	亞泥         	19910207	   2.6549
1434   	福懋         	19910207	   1.8405
1605   	華新         	19910207	   6.6879
2303   	聯電         	19910207	   4.3825
2603   	長榮         	19910207	   3.6036
2809   	京城銀       	19910207	   2.2099
1102   	亞泥         	19910208	   0.8621
1434   	福懋         	19910208	   1.5060
1605   	華新         	19910208	   3.8806
2303   	聯電         	19910208	   0.0000
2603   	長榮         	19910208	   0.8696
2809   	京城銀       	19910208	   1.6216
1102   	亞泥         	19910209	   2.5641
1434   	福懋         	19910209	   0.2967
1605   	華新         	19910209	   5.4598
2303   	聯電         	19910209	   0.3817
2603   	長榮         	19910209	   2.5862
2809   	京城銀       	19910209	   1.0638
1102   	亞泥         	19910211	   5.0000
1434   	福懋         	19910211	   4.7337
1605   	華新         	19910211	   6.8120
2303   	聯電         	19910211	   3.4221
2603   	長榮         	19910211	   3.7815
2809   	京城銀       	19910211	   5.7895
1102   	亞泥         	19910219	   6.3492
1434   	福懋         	19910219	   6.7797
1605   	華新         	19910219	   6.8878
2303   	聯電         	19910219	   6.9853
2603   	長榮         	19910219	   6.8826
2809   	京城銀       	19910219	   6.9652
1102   	亞泥         	19910220	  -3.7313
1434   	福懋         	19910220	  -0.7937
1605   	華新         	19910220	  -2.6253
2303   	聯電         	19910220	  -2.0619
2603   	長榮         	19910220	   6.8182
2809   	京城銀       	19910220	  -2.7907
1102   	亞泥         	19910221	   6.2016
1434   	福懋         	19910221	   6.6667
1605   	華新         	19910221	   3.1863
2303   	聯電         	19910221	   6.6667
2603   	長榮         	19910221	   4.9645
2809   	京城銀       	19910221	   4.3062
1102   	亞泥         	19910222	  -6.5693
1434   	福懋         	19910222	  -7.0000
1605   	華新         	19910222	  -6.8884
2303   	聯電         	19910222	   1.9737
2603   	長榮         	19910222	  -6.7568
2809   	京城銀       	19910222	  -6.8807
1102   	亞泥         	19910223	   3.9063
1434   	福懋         	19910223	   1.3441
1605   	華新         	19910223	  -1.5306
2303   	聯電         	19910223	   2.9032
2603   	長榮         	19910223	   0.7246
2809   	京城銀       	19910223	   1.9704
1102   	亞泥         	19910225	   0.7519
1434   	福懋         	19910225	   5.5703
1605   	華新         	19910225	   2.3316
2303   	聯電         	19910225	   0.3135
2603   	長榮         	19910225	   6.1151
2809   	京城銀       	19910225	   0.0000
1102   	亞泥         	19910226	  -2.9851
1434   	福懋         	19910226	  -0.5025
1605   	華新         	19910226	  -6.3291
2303   	聯電         	19910226	  -5.0000
2603   	長榮         	19910226	  -3.3898
2809   	京城銀       	19910226	  -3.3816
1102   	亞泥         	19910227	   1.5385
1434   	福懋         	19910227	  -0.7576
1605   	華新         	19910227	  -1.3514
2303   	聯電         	19910227	   1.6447
2603   	長榮         	19910227	   2.8070
2809   	京城銀       	19910227	  -1.0000
1102   	亞泥         	19910228	   3.0303
1434   	福懋         	19910228	   3.8168
1605   	華新         	19910228	   1.9178
2303   	聯電         	19910228	   2.5890
2603   	長榮         	19910228	   6.8259
2809   	京城銀       	19910228	   5.0505
1102   	亞泥         	19910301	  -1.4706
1434   	福懋         	19910301	  -2.9412
1605   	華新         	19910301	   0.2688
2303   	聯電         	19910301	   2.5237
2603   	長榮         	19910301	   0.3195
2809   	京城銀       	19910301	  -3.3654
1102   	亞泥         	19910302	  -6.7164
1434   	福懋         	19910302	  -5.0505
1605   	華新         	19910302	  -5.8981
2303   	聯電         	19910302	  -6.1538
2603   	長榮         	19910302	  -6.6879
2809   	京城銀       	19910302	  -6.9652
1102   	亞泥         	19910304	  -1.6000
1434   	福懋         	19910304	  -0.2660
1605   	華新         	19910304	   1.9943
2303   	聯電         	19910304	  -1.9672
2603   	長榮         	19910304	  -1.7065
2809   	京城銀       	19910304	   1.6043
1102   	亞泥         	19910305	   0.0000
1434   	福懋         	19910305	  -3.4667
1605   	華新         	19910305	  -2.2346
2303   	聯電         	19910305	  -5.6856
2603   	長榮         	19910305	  -3.4722
2809   	京城銀       	19910305	  -2.1053
1102   	亞泥         	19910306	  -0.8130
1434   	福懋         	19910306	  -2.2099
1605   	華新         	19910306	   0.8571
2303   	聯電         	19910306	  -2.4823
2603   	長榮         	19910306	   0.0000
2809   	京城銀       	19910306	  -1.0753
1102   	亞泥         	19910307	   1.6393
1434   	福懋         	19910307	   2.5424
1605   	華新         	19910307	   1.6997
2303   	聯電         	19910307	   4.0000
2603   	長榮         	19910307	   2.5180
2809   	京城銀       	19910307	   1.6304
1102   	亞泥         	19910308	   0.0000
1434   	福懋         	19910308	  -1.9284
1605   	華新         	19910308	  -1.9499
2303   	聯電         	19910308	   2.4476
2603   	長榮         	19910308	  -1.0526
2809   	京城銀       	19910308	   1.0695
1102   	亞泥         	19910309	   1.6129
1434   	福懋         	19910309	   3.9326
1605   	華新         	19910309	   3.4091
2303   	聯電         	19910309	   6.8259
2603   	長榮         	19910309	   4.2553
2809   	京城銀       	19910309	   2.6455
1102   	亞泥         	19910311	   1.5873
1434   	福懋         	19910311	   1.6216
1605   	華新         	19910311	   3.5714
2303   	聯電         	19910311	   5.1118
2603   	長榮         	19910311	   0.0000
2809   	京城銀       	19910311	   1.5464
1102   	亞泥         	19910312	   0.0000
1434   	福懋         	19910312	   1.0638
