證券代碼,簡稱,年月日,報酬率小數點
1101,台泥         ,20180817,0.00119
1101,台泥         ,20180820,-0.001189
1101,台泥         ,20180821,0.021429
1101,台泥         ,20180822,0.001166
1101,台泥         ,20180823,0.003492
1101,台泥         ,20180824,-0.006961
1101,台泥         ,20180827,0.011682
1101,台泥         ,20180828,0
1101,台泥         ,20180829,0.002309
1101,台泥         ,20180830,-0.032258
1101,台泥         ,20180831,0.008333
1101,台泥         ,20180903,-0.023613
1101,台泥         ,20180904,0.018138
1101,台泥         ,20180905,-0.013064
1101,台泥         ,20180906,0.006017
1101,台泥         ,20180907,-0.011962
1101,台泥         ,20180910,-0.081114
1101,台泥         ,20180911,0.001318
1101,台泥         ,20180912,0.014474
1101,台泥         ,20180913,0.014267
1101,台泥         ,20180914,0.014066
1101,台泥         ,20180917,-0.008827
1101,台泥         ,20180918,0.010178
1101,台泥         ,20180919,0.011335
1101,台泥         ,20180920,-0.001245
1101,台泥         ,20180921,0.007481
1101,台泥         ,20180925,-0.00495
1101,台泥         ,20180926,-0.007463
1101,台泥         ,20180927,0.008772
1101,台泥         ,20180928,0.021118
1101,台泥         ,20181001,-0.001217
1101,台泥         ,20181002,-0.01827
1101,台泥         ,20181003,-0.002481
1101,台泥         ,20181004,-0.00995
1101,台泥         ,20181005,-0.002513
1101,台泥         ,20181008,0.001259
1101,台泥         ,20181009,0.007547
1101,台泥         ,20181011,-0.061174
1101,台泥         ,20181012,0.037234
1101,台泥         ,20181015,-0.012821
1101,台泥         ,20181016,-0.007792
1101,台泥         ,20181017,0.001309
1101,台泥         ,20181018,-0.006536
1101,台泥         ,20181019,-0.019737
1101,台泥         ,20181022,0.008054
1101,台泥         ,20181023,-0.041278
1101,台泥         ,20181024,-0.051389
1101,台泥         ,20181025,-0.004392
1101,台泥         ,20181026,-0.014706
1101,台泥         ,20181029,0.01194
1101,台泥         ,20181030,0.0059
1101,台泥         ,20181031,0.017595
1101,台泥         ,20181101,0.027378
1101,台泥         ,20181102,0.02244
1101,台泥         ,20181105,-0.030178
1101,台泥         ,20181106,-0.007072
1101,台泥         ,20181107,0.011396
1101,台泥         ,20181108,0
1101,台泥         ,20181109,-0.016901
1101,台泥         ,20181112,0.020057
1101,台泥         ,20181113,0.022472
1101,台泥         ,20181114,-0.001374
1101,台泥         ,20181115,-0.005502
1101,台泥         ,20181116,0.008299
1101,台泥         ,20181119,0.001372
1101,台泥         ,20181120,0.00411
1101,台泥         ,20181121,-0.025921
1101,台泥         ,20181122,-0.02381
1101,台泥         ,20181123,-0.004304
1101,台泥         ,20181126,0.018732
1101,台泥         ,20181127,-0.052334
1101,台泥         ,20181128,0.016418
1101,台泥         ,20181129,0
1101,台泥         ,20181130,0.013216
1101,台泥         ,20181203,0.03913
1101,台泥         ,20181204,-0.022315
1101,台泥         ,20181205,-0.005706
1101,台泥         ,20181206,-0.005739
1101,台泥         ,20181207,0.011544
1101,台泥         ,20181210,-0.008559
1101,台泥         ,20181211,0.001439
1101,台泥         ,20181212,0.00431
1101,台泥         ,20181213,0.015737
1101,台泥         ,20181214,0.007042
1101,台泥         ,20181217,0.006993
1101,台泥         ,20181218,-0.009722
1101,台泥         ,20181219,0.009818
1101,台泥         ,20181220,-0.016667
1101,台泥         ,20181221,0
1101,台泥         ,20181222,0.001412
1101,台泥         ,20181224,0.009873
1101,台泥         ,20181225,0.001397
1101,台泥         ,20181226,-0.012552
1101,台泥         ,20181227,0
1101,台泥         ,20181228,0.00565
1707,葡萄王       ,20180102,0.021635
1707,葡萄王       ,20180103,0.018824
1707,葡萄王       ,20180104,0.011547
1707,葡萄王       ,20180105,-0.002283
1707,葡萄王       ,20180108,0.006865
1707,葡萄王       ,20180109,0
1707,葡萄王       ,20180110,0
1707,葡萄王       ,20180111,-0.020455
1707,葡萄王       ,20180112,-0.016241
1707,葡萄王       ,20180115,0.009434
1707,葡萄王       ,20180116,0.023364
1707,葡萄王       ,20180117,-0.011416
1707,葡萄王       ,20180118,-0.009238
1707,葡萄王       ,20180119,0.002331
1707,葡萄王       ,20180122,-0.004651
1707,葡萄王       ,20180123,0.014019
1707,葡萄王       ,20180124,-0.006912
1707,葡萄王       ,20180125,0.013921
1707,葡萄王       ,20180126,-0.002288
1707,葡萄王       ,20180129,-0.043578
1707,葡萄王       ,20180130,0.007194
1707,葡萄王       ,20180131,0.009524
1707,葡萄王       ,20180201,-0.018868
1707,葡萄王       ,20180202,0.016827
1707,葡萄王       ,20180205,-0.01182
1707,葡萄王       ,20180206,-0.055024
1707,葡萄王       ,20180207,0.037975
1707,葡萄王       ,20180208,-0.017073
1707,葡萄王       ,20180209,-0.004963
1707,葡萄王       ,20180212,-0.002494
1707,葡萄王       ,20180221,0.01
1707,葡萄王       ,20180222,0.024752
1707,葡萄王       ,20180223,0.007246
1707,葡萄王       ,20180226,0.002398
1707,葡萄王       ,20180227,0.033493
1707,葡萄王       ,20180301,0.009259
1707,葡萄王       ,20180302,-0.011468
1707,葡萄王       ,20180305,0.006961
1707,葡萄王       ,20180306,0.009217
1707,葡萄王       ,20180307,0.045662
1707,葡萄王       ,20180308,0.026201
1707,葡萄王       ,20180309,0.017021
1707,葡萄王       ,20180312,0.006276
1707,葡萄王       ,20180313,0
1707,葡萄王       ,20180314,0.014553
1707,葡萄王       ,20180315,0.008197
1707,葡萄王       ,20180316,0.01626
1707,葡萄王       ,20180319,-0.028
1707,葡萄王       ,20180320,0.00823
1707,葡萄王       ,20180321,0
1707,葡萄王       ,20180322,0.004082
1707,葡萄王       ,20180323,-0.020325
1707,葡萄王       ,20180326,0.014523
1707,葡萄王       ,20180327,0.014315
1707,葡萄王       ,20180328,0.008065
1707,葡萄王       ,20180329,0.024
1707,葡萄王       ,20180330,-0.017578
1707,葡萄王       ,20180331,-0.011928
1707,葡萄王       ,20180402,0
1707,葡萄王       ,20180403,0.006036
1707,葡萄王       ,20180409,0.052
1707,葡萄王       ,20180410,0.007605
1707,葡萄王       ,20180411,-0.026415
1707,葡萄王       ,20180412,0.011628
1707,葡萄王       ,20180413,0.003831
1707,葡萄王       ,20180416,0.001908
1707,葡萄王       ,20180417,-0.026667
1707,葡萄王       ,20180418,0.015656
1707,葡萄王       ,20180419,0.028902
1707,葡萄王       ,20180420,0.016854
1707,葡萄王       ,20180423,-0.023941
1707,葡萄王       ,20180424,-0.030189
1707,葡萄王       ,20180425,-0.038911
1707,葡萄王       ,20180426,-0.006073
1707,葡萄王       ,20180427,0.034623
1707,葡萄王       ,20180430,-0.019685
1707,葡萄王       ,20180502,-0.002008
1707,葡萄王       ,20180503,0.012072
1707,葡萄王       ,20180504,-0.013917
1707,葡萄王       ,20180507,0
1707,葡萄王       ,20180508,0.016129
1707,葡萄王       ,20180509,-0.027778
1707,葡萄王       ,20180510,0
1707,葡萄王       ,20180511,-0.018367
1707,葡萄王       ,20180514,-0.033264
1707,葡萄王       ,20180515,0.021505
1707,葡萄王       ,20180516,-0.016842
1707,葡萄王       ,20180517,-0.034261
1707,葡萄王       ,20180518,0.031042
1707,葡萄王       ,20180521,0.012903
1707,葡萄王       ,20180522,-0.014862
1707,葡萄王       ,20180523,0
1707,葡萄王       ,20180524,0.043103
1707,葡萄王       ,20180525,-0.016529
1707,葡萄王       ,20180528,-0.008403
1707,葡萄王       ,20180529,-0.012712
1707,葡萄王       ,20180530,-0.017167
1707,葡萄王       ,20180531,0.008734
1707,葡萄王       ,20180601,0.056277
1707,葡萄王       ,20180604,-0.004098
1707,葡萄王       ,20180605,-0.018519
1707,葡萄王       ,20180606,0.006289
1707,葡萄王       ,20180607,-0.020833
1707,葡萄王       ,20180608,0.010638
1707,葡萄王       ,20180611,-0.018947
1707,葡萄王       ,20180612,-0.019313
1707,葡萄王       ,20180613,-0.013129
1707,葡萄王       ,20180614,0.006652
1707,葡萄王       ,20180615,0.017621
1707,葡萄王       ,20180619,-0.019481
1707,葡萄王       ,20180620,0.002208
1707,葡萄王       ,20180621,0.006608
1707,葡萄王       ,20180622,-0.015317
1707,葡萄王       ,20180625,0
1707,葡萄王       ,20180626,0.011111
1707,葡萄王       ,20180627,0.024176
1707,葡萄王       ,20180628,-0.030043
1707,葡萄王       ,20180629,0.017699
1707,葡萄王       ,20180702,0.017391
1707,葡萄王       ,20180703,0.017094
1707,葡萄王       ,20180704,-0.010504
1707,葡萄王       ,20180705,-0.016985
1707,葡萄王       ,20180706,-0.010799
1707,葡萄王       ,20180709,0.011686
1707,葡萄王       ,20180710,0.006667
1707,葡萄王       ,20180711,0.055188
1707,葡萄王       ,20180712,0.029289
1707,葡萄王       ,20180713,0.012195
1707,葡萄王       ,20180716,0.03012
1707,葡萄王       ,20180717,-0.031189
1707,葡萄王       ,20180718,0.004024
1707,葡萄王       ,20180719,0.004008
1707,葡萄王       ,20180720,-0.041916
1707,葡萄王       ,20180723,-0.008333
1707,葡萄王       ,20180724,0
1707,葡萄王       ,20180725,0.031513
1707,葡萄王       ,20180726,0.010183
1707,葡萄王       ,20180727,-0.032258
1707,葡萄王       ,20180730,0
1707,葡萄王       ,20180731,-0.020833
1707,葡萄王       ,20180801,0.014894
1707,葡萄王       ,20180802,-0.004193
1707,葡萄王       ,20180803,0.021053
1707,葡萄王       ,20180806,-0.016495
1707,葡萄王       ,20180807,0.012579
1707,葡萄王       ,20180808,-0.006211
1707,葡萄王       ,20180809,-0.008333
1707,葡萄王       ,20180810,-0.008403
1707,葡萄王       ,20180813,-0.025424
1707,葡萄王       ,20180814,-0.021739
1707,葡萄王       ,20180815,0.013333
1707,葡萄王       ,20180816,0
1707,葡萄王       ,20180817,-0.002193
1707,葡萄王       ,20180820,-0.021978
1707,葡萄王       ,20180821,0.008989
1707,葡萄王       ,20180822,-0.011136
